ip,games_played,highest_level,minutes_played,research_time_level1,research_time_level2,research_time_level3,research_time_level4,research_time_level5,research_time_level6,protection_percent_level1,protection_percent_level2,protection_percent_level3,protection_percent_level4,protection_percent_level5,protection_percent_level6,reflection
181.208.244.249,3.0 to 6.0,5.0 to 6.0,42.0 to 69.0,29.0 to 62.0,35.0 to 53.0,38.0 to 48.0,35.0 to 44.0,36.0 to 40.0,n/a,12.0 to 22.0,13.0 to 23.0,6.0 to 14.0,-4.0 to 2.0,-12.0 to -5.0,n/a,"RISK HORIZONE. I have learned
a momentous lesson in a fun way.
By Juan Antonio Andara 
(juanandara@gmail.com)
Under the Risk Management Course, sponsored by
the World Bank in Coursera network, I received a great lesson. Experience in
risk management game RISK HORIZONE allowed me to experience important aspects. First, it is the requirement to hold the balance between the developments of
the village, the level of insurance and the level of knowledge about meteorites
approaching the planet. It included also coping with the events once they shock
the village to maintain the health of the system. 
The game requires making trade-offs between
investing in Knowledge, Protection or Insurance to manage risks. Also it had an
impact on the decisions: the probability of collision, the ability to damage
the meteorite and the vulnerability of the area.The integrated action of all these elements was
dynamic and complex character. Especially, since it demanded levels of
achievement in a short period of time.Â Second, the needs to be monitoring the
possible impacts of meteorites at sea, affecting growth village. Not all
meteorites were as likely to impact the planet. For this reason, meteorites did
not require the same attention. Those who were more likely to impact and higher
level of damage should have more attention and research.
Third, once occurring impacts of meteorites in
the sea, the game required a significant reaction to the event. The object of
this action was to reduce the damage to the houses. According to the level of
damage inflicted to the structures, I had to come to invest in repairing
investing resources that I could have been used for development of the area. 
The level of insurance allowed making the
decision to invest according to the stage of the game and the corresponding
danger level. To the extent that I increased levels of the game, in that action
was required to invest much more in the level of insurance, diverting
development resources to pay for the growing demand for security.
It is a virtue of the game, providing the
experience of variables simultaneously handle risk management in order to
achieve further development, with the risks involved in its management. Any
error or imbalance in decision always hit the level of development and
integrity of the area. 
If I had played once, I have had worse results
than I had. I understood that risk management requires practice to understand
how to balance the elements that affect their dynamics. I learned that risk
management in complex, dynamic and successive responds to changing conditions.
And it should be decided properly or undesirable events happen.
I find it surprising that so far has not
integrated risk management to the management of development, since their impact
is direct and real. Not a game. The limited consideration of the risk levels of
development in each action has brought very negative consequences for many
countries. RISK HORIZONE is a game that can experience it without risking
resources and people, letting you learn a great lesson in a fun way.
In my country, the entire population is affecting
by occurrence of rain or drought. Therefore, I should replace the meteoroids by
clouds or sun, indicating drought or rainfall events in order to make decisions
based on them. 
Another important aspect is that in my country
public institutions are very weak. Therefore people in very high grade,
survives by his own efforts. Often, they depend on support from the community.
I would add to the game the ability to create networks of support among the
community as a key aspect to deal with risk.
Â "
41.63.2.26,10.0 to 66.0,2.0 to 3.0,69.0 to 435.0,-11.0 to 8.0,12.0 to 35.0,n/a,n/a,n/a,n/a,-15.0 to 1.0,-37.0 to -13.0,n/a,n/a,n/a,n/a,"Risk management according
to investopedia is defined as the process of identification, analysis and
either acceptance or mitigation of uncertainty in investment decision-making.Â Risk management in this game is playing the role of acquiring
knowledge (research) and putting in protective measures while also mitigating
the impact of lose in form of insurance. During the game, I had to choose
whether to invest in more research, gain more protection, pay maximum insurance
or develop the neighborhood. I found myself spending more on insurance and
research. Reason being, when I paid the maximum on insurance, it reduced the cost
of repairing against damage caused. And the more I spent on research, I found
that I understood the impact the meteors would cause which in turn helped me
decide which protection measure to take. In trying to prepare for risk, I found
that development was slow because I had to split the resources between research
and development. Striking a balance on what to spend on was really challenging.
The first time I focused more on trying
to develop the land at a go and gaining protection. However, the second time
around I narrowed down to three projects, spent more on research and insurance all
the while trying to put in protective measures. I realized that the fewer
projects I invested in at a go, the more resources I had to spend on upgrades and
research.
Overall, I learnt that in as much as
research, protection and insurance are all important components of risk
management, it is not always possible to invest in all of them at once. This is
so because limitations in resources come in and there is need to decide and
weigh the options on which one you would want to invest in first or rather how
much you are willing to spend for either one of them. I found it more rewarding
to focus on research and developing the land at a go because the research
helped in understanding how much protection my investment needed. I also went
for the full insurance premium because once my projects suffered damage or
shock, I was able to repair them at a much lower cost than if I had spent less
on insurance i.e. putting in place coping mechanisms.I think insurance is a form of
protection, as such I would recommend the two are not separated but rather embedded
in one feature.
Â 
Â 
Â 
Â "
108.230.93.214,0.0 to 2.0,0.0 to 2.0,0.0 to 15.0,-38.0 to -27.0,n/a,n/a,n/a,n/a,n/a,12.0 to 22.0,n/a,n/a,n/a,n/a,n/a,"1
What was the role of risk management in
the game? What choices did you make and what trade-offs did you
confront in terms of knowledge, protection, and insurance? In what
ways did preparation for risk affect development (immediately, or
after some time)?
The role of risk management in the game
centered around building, insurance and research of the incoming
comets. The trade-offs centered on brisk building costs offset by
high insurance costs to then study the comet approaching. Continual
building was required in order to move forward in the game while the
setbacks could be mitigated by research which gave you more time to
lessen the damage. The high insurance cost could be dealt with by
buying early in the round when it was cheaper due to the lower value
of the property. The more building you did drove up the cost of the
insurance as a whole. The rate of wealth was steady while the comets
severity could change radically. Several misses could create a window
of opportunity to meet your goal. The flip side was as the comets hit
steadily you had no increase in wealth to catch up during the round.
Insurance was the only way to lessen the rebuilding process and
research gave you more of a chance to lessen the heavy damage.
Raising the level of the property seemed to be counter productive
with the time constraints.
2
If you played the game only once, what
would you do differently if you were to play it again? Alternatively,
if you played the game more than once, what did you do differently
after the first time? What were the main things you learned from the
game?
I played the game multiple times
because I am conservative by nature while the game required an
aggressive approach. Acquiring wealth was not paced with the amount
of devastation that could be unleashed on the properties. For
instance I had a 70% destruction with 75% insurance and there was no
time to rebuild and meet your goal. In such a scenario you would need
a faster wealth pace and a longer time horizon.  I definitely learned
to change the rate of insurance buying to early in the round and
research of the sever comets for longer periods created the best
results. Building aggressively also became a focus of the game as you
saw how important it was to going to the next round. 
3
The game captures, in a simplified way,
some aspects of risk management. Imagine you are tasked with
developing a new version of the game, which allows you to change or
add one simple thing. What change would you propose to better
represent the risk management choices that matter in the place you
live?
Auburn, California would have less risk
of catastrophic happenings in the time horizon. Auburn does not
experience catastrophic events generally of any kind. The game would
need to allow for less severe outcomes  and the insurance and
research costs could come way down. Meeting and maintaining the
building requirements would be much more attainable due to the new
risk averse model. The big change to the game for Auburn would be
releasing water to So. California during a drought. Managing the
contracts to allow for this expected risk would be my change in the
game for this area. If the resevoirs were able to build up over the
lean years, the area would have not problem meeting the demands for
water in the region. Due to the contracts created to keep the water
flowing out of the reservoirs, their purpose is negated. Our game
focus would be on water flow management.
"
200.182.161.10,10.0 to 66.0,3.0 to 4.0,69.0 to 435.0,-38.0 to -27.0,-47.0 to -33.0,-52.0 to -37.0,n/a,n/a,n/a,-28.0 to -15.0,-37.0 to -13.0,-50.0 to -14.0,n/a,n/a,n/a,"Risks are around us every
day in the society; not only in our personal lives but in the company we work
for, projects we run, community we live and world/environment we are part of.
The awareness and skills to deal with these daily risks are key elements to
prevent them to become issues, when exploring negative risks, or to take
advantage of opportunities. The game was very nice to help us students to
understand that everything starts with information (as when analyzing the
meteor impact probability and damage), followed by preventive measures (elevate
the ground) and/or in insurance, especially when the preventive measures were
not enough. Development of the silos (units) was key to keep population happy
and producing, so the incentives also were key to progress in the game. This is
the same as in the live. In rural areas, government incentives will allow
people to take more risks and grow, while insurance and preventive measures can
prevent damage to the plantations. In urban areas, companies need to foresee
not only the events that would harm business, but allow employees to take risks
as opportunities for internal growth, and allow people to fail because without
that very few will want to adventure and take calculated risks.
The
training so far is very good, and I am eager to start weeks 3 and 4!
Â 
Â "
41.223.105.195,10.0 to 66.0,2.0 to 3.0,42.0 to 69.0,-27.0 to -11.0,-33.0 to -11.0,n/a,n/a,n/a,n/a,-28.0 to -15.0,-37.0 to -13.0,n/a,n/a,n/a,n/a,"REFLECTIONS FROM THE RISK HORIZON GAME
What was the role of risk
management in the game? What choices did you make and what trade-offs did you
confront in terms of knowledge, protection, and insurance? In what ways did
preparation for risk affect development (immediately, or after some time)?
This game, Â a real time strategy game that teaches how and
why risk management is important for healthy development, show the role of risk
management as a task of Â developing Â ones community to the best of abilities while
meeting certain milestones along the way. (Balancing between growing in the community
and preparing for potential shocks). In
fact, in this game we have to manage with several parameters
The
choices I mad are to protect efficiency pods, and trade-offs assuming responsibility
to lose some money (dollars) in order to protect pods for comets dangers (falling
comets shocks). Theses choices and trade-offs, Balance Risk Preparation and healthily
Development was confronted in terms of:
-Â  The
power to look out into space and learn the chance of the comet hitting, the
time until impact, and the severity of the comet (The Power of Research);
-Â  Our
long term protection against the waves (The Power of Protection);
-Â  By
obtaining insurance, pods damaged from flooding will be quicker and cheaper to
rebuild (The Power of Insurance).
Finally, itâ€™s
clear that the â€œPreparation for riskâ€ù affects development after some time. 
If you played the game only once,
what would you do differently if you were to play it again? Alternatively, if
you played the game more than once, what did you do differently after the first
time? What were the main things you learned from the game?The only once played game, If I would play the game merely
differently (not a â€œcrisis fighterâ€ù). I would develop strategies (becoming â€œproactive and systematic risk managers.â€ù). Indeed,
playing stroke of luck without strategies is not rational. One of The main
things Iâ€™ve learned that is â€œeverything we do has some cost, whether in time of
resources, such is the way of, the world, where nothing come easyâ€ù.
Â 
The game captures, in a
simplified way, some aspects of risk management. Imagine you are tasked with
developing a new version of the game, which allows you to change or add one
simple thing. What change would you propose to better represent the risk
management choices that matter in the place you live?I should change tutorial and I should add how to earn money or â€œlifeâ€ù
and the clear feedback. For changing to better representation of the risk
management choices in my place of living is the human being in general and
vulnerable people (children and women)."
123.203.193.217,10.0 to 66.0,3.0 to 4.0,69.0 to 435.0,-27.0 to -11.0,-33.0 to -11.0,-37.0 to -13.0,n/a,n/a,n/a,22.0 to 68.0,23.0 to 54.0,6.0 to 14.0,n/a,n/a,n/a,http://youtu.be/X5ctvea-OMk
197.237.56.217,10.0 to 66.0,5.0 to 6.0,42.0 to 69.0,-38.0 to -27.0,-47.0 to -33.0,-52.0 to -37.0,-56.0 to -40.0,-60.0 to -39.0,n/a,22.0 to 68.0,23.0 to 54.0,14.0 to 49.0,11.0 to 38.0,12.0 to 37.0,n/a,"1) The role of the risk manager was to ensure that there was a balance between the knowledge, protection and insurance aspects of risk preparedness. Â The choices I had to make included: when to press the protection button only, when to purchase the insurance and when to purchase the insurance and press the protection button to prevent damage to the pods if the comet hit the island. In addition I had to make choices on when to build he pods and when o protect the already built pods from the falling comets. The trade offs included stopping to build the pods to either continuously hold the protection button or to purchase the insurance. Â As for the way preparation affected development immediately was that either, the comet Â missed to hit the pods or if it did, there was no damage and therefore, there was no time lost in terms of development Â or resources wasted..2) I played the game more than once and this is what Â I did after the first time. I went back to the tutorial Â and mastered it. It provided very good guidance. and when played the game second time I Â made progress up to level four (4) of the game. The things that I learned are a) Knowledge is critical if one is to make the right decision. Decision on when to press the protection button only or press the protection button and purchase insurance at the same time was guided by the information provided on the comets. In addition the speed at which the comets were falling as well as the number approaching the island guided my decision whether to just press the protection button only or to press the protection button and purchase insurance to compliment each other. Â 2) Protection is important for risk management. By pressing the protection button, the comet would miss to hit the pods. 3) Insurance and protection compliments each other. When comet managed to hit the pod, there was no damage and was relieving to see no lost development as indicated by the development bar. 4) Action taken and on a timely bases makes the difference. I learned that that I had to take action and on timely bases to prevent the comet from hitting a pod or if it did, not to cause damage.3)The change I would propose to better represent the risk management choices Â that matter in the place where I live Â is to add Â the aspect of copingÂ "
196.44.109.213,10.0 to 66.0,5.0 to 6.0,69.0 to 435.0,8.0 to 29.0,12.0 to 35.0,-13.0 to 17.0,-13.0 to 17.0,-39.0 to -2.0,-36.0 to 1.0,12.0 to 22.0,3.0 to 13.0,6.0 to 14.0,2.0 to 11.0,2.0 to 12.0,-3.0 to 3.0,"Not withstanding the technical difficulties posted by the game, I can say that the key role of risk managemnt was how to balance in strengthening the community to that of preventing being destroyed using the given resources, protection and insurance. At certain points, I had to choose if I first build my pods or deal with the comets. At times, I had to deal with spending the resources available for constructing the pods or using the resource for protection. I would say that I did not really see the very impact of preparation to risks in relation to development in the game. But definitely, it is preparedness that helps in already winning half of the battle.The first time I tried the game, it was exploratory and then I went more into tactical approach after learning of the resources that I can use. I just started to construct the pods and only then prepared for the comet. I will change the pacing specially when there are 2 comets coming so that response can be faster. It is really the knowledge of where things are, how to use them at a given time and tactically releasing them at a given moment that I learned from ther game. But of course, it is also the winning over after having tried all sorts of approaches; gaining ground since we want to address the risks that are present and could still be coming. It was harder when there were more comets coming at almost the same time and the response (due to lack of resources) is slow. This seem to be the case whenever there were more comts coming.I would propose to have a given and existing security within the community since we are not starting from scratch; e.g. facilities and infrastrcutre that can be improved or further integrated into other resources to a given vulnerable area or existing knowledge that can be further enhanced thus being more concrete and creative. "
87.55.104.225,3.0 to 6.0,4.0 to 5.0,24.0 to 42.0,29.0 to 62.0,35.0 to 53.0,17.0 to 38.0,17.0 to 35.0,n/a,n/a,1.0 to 12.0,3.0 to 13.0,-14.0 to -2.0,-41.0 to -14.0,n/a,n/a,"The role of risk management was to protect the community from comets hitting our world and causing damage. There were three ways to achieve this, by researching the comets, protection from the comet impact, and insurance. I left protection to the last, every time I tried making that a priority over research I ended up losing the game. My first priority was insurance, second was research followed by protection. Every time I made protection a priority my development was affected immediately. But the further I got along in the game, the lack of protection hampered my development even more. I learned that you can't spend all your money on development. You have to save some for the after effects of the comet. If I were to play again for the first time I would definitely buy the highest insurance first, not the lowest. I would change the initial building of new developments. You would have two options first standard home, the second re-enforced homes that receives less damage but cost double the price. You would have to trade off more expensive development initially for savings later.What would I change to represent risk management choices where I live is a tough question. I currently live in Denmark, but I am from Detroit. In Denmark the worst disasters are typically flooding or loss of employment. Both are well represented with risk management choice in the game, but if I were to use Detroit as a reference I would have to add a ""police enforcement"" option. An excessive amount of looting/riots happens after a disaster, and you need some type of law enforcement to keep the peace, so to speak. I would add training and employing police option each level like the insurance. "
110.172.129.54,3.0 to 6.0,3.0 to 4.0,24.0 to 42.0,-11.0 to 8.0,-11.0 to 12.0,-13.0 to 17.0,n/a,n/a,n/a,-28.0 to -15.0,-37.0 to -13.0,-50.0 to -14.0,n/a,n/a,n/a,"Game Reflection
Â 
Â 
It is risky to take risk sometimes;
riskier to take risk most times, but the riskiest thing to do is not to take
risk at all. 
Â 
As the World Development Report (WDR) 2014 maintains, beyond risks are
often opportunities. Reaching those opportunities, however, will always require
confronting the risks that block one away from opportunities that lie beyond.
Â 
Such is a scenario in the â€œRisk Horizonâ€ù
game. In the game lies an opportunity to develop an island community by
developing pods, and building a well-developed settlement. In the course of the
development work, there is systemic risk posed by â€œcomets.â€ù In order to proceed
with building this community, I had to put in place a mechanism for managing
the risk posed by falling comets.
Â 
I had to decide how to properly manage
this risk. From the risk management framework presented in the WDR 2014; I
adopted the framework of using knowledge, protection, and insurance in order to
manage the risks posed by comets.Â  
Â 
The role of risk management in the game
was to assist me proceed with development while managing the risks that I
faced. Through knowledge, I sought information on every single comet â€“ its
severity, chances of hit, etc. This research was made in order to allow me
decide the level of protection I needed prior to each comet striking. With the
right protection, a strike of each comet left â€œno damageâ€ù, and I continued my
development work. With the proper insurance, I would easily recover from a
shock, by rebuilding damaged pods within a short period of time. 
Â 
Risk management is a delicate process,
and must involve making choices along the development process. Throughout the
game, I had to make choices on whether I needed to seek knowledge, get insured,
or protect myself. Most often, I made a choice of seeking knowledge on each
comet before deciding on my level of protection. If, for instance, a cometâ€™s
severity was well below by current level of protect, I would opt not to seek
additional protecting, as it would increase my protection cost. 
Â 
I played the game more than once. What I
did differently during my succeeding plays was to invest more time into
research, in order to seek appropriate insurance and protection. 
Â 
My community is often threatened by
floods, and if I were to develop a new version of this game, I would change the
comets to floods that would destroy the community. By using a risk that is real
in my community, every member of the community playing the game will appreciate
the importance of risk management.Â  Â 
Â 
Â 
Â 
Â 
Â "
208.123.162.2,10.0 to 66.0,3.0 to 4.0,42.0 to 69.0,-38.0 to -27.0,-47.0 to -33.0,-52.0 to -37.0,n/a,n/a,n/a,-15.0 to 1.0,-13.0 to 3.0,-14.0 to -2.0,n/a,n/a,n/a,"In playing this game, I tried to be mindful of the risks that those shocks posed and also mindful of the quantity of pods that I have built. Â I tried to equate the risks with my pods and then bought protection or insurance accordingly based Â on the information that is available when you clicked on those shocks which would indicate the probability of a landfall, whether research would be important/helpful or not. Â So given these information I tried to have protection or insurance in place. Â At the same time, to maximize the resources I have to build/repair pods or pay for these protection and insurance, I was mindful of the incoming comets. Â I felt that there was a trade off between building/repairing pods, accumulating resources to pay for these pods and managing risks. Â You have to choose one at any given time. Â I was not so sure if this is because I can only work with my right hand - an issue with dexterity or something else? Â In reality,all these factors - knowledge, protection and insurance come into play concurrently, albeit at different levels.Â I do not play video games so it took several attempts before I reached level 3 in this game. Â I tried more attempts to see if I can move higher but I did not so I stopped concerned that I maybe addicted. Â I tried to see if there was a pattern when shocks would show up so I could predict Â and formulate appropriate response but I did not see any or maybe I missed it completely. Â I attempted to ""time"" the building or repair of the pods based on the proximity to landfall of those red comets or based on whether there was a high probability of destruction. Â In risk management, you actually factor in historical information to be able to predict what would happen and when it would happen. All these scenario analyses use past information and patterns to come up with possible outcomes to be able to act accordingly or decide which solution to take.If I were to enhance this game, I think the decision on whether to click on the comet at any given time as opposed to building/repairing pods would be facilitated if there was an indication how much it is worth. Â I had a hard time whether it is the right time to build pods or to click on the comets. Â I realize it is not always the case that we can quantify the trade offs were are taking, however it is helpful to know how much it is worth to us i.e. cost-benefit analysis."
189.195.214.173,10.0 to 66.0,2.0 to 3.0,42.0 to 69.0,-11.0 to 8.0,-11.0 to 12.0,n/a,n/a,n/a,n/a,-15.0 to 1.0,-13.0 to 3.0,n/a,n/a,n/a,n/a,"The Strategic Planning Approach for Alora
Risk
management is a key and strategic planning tool for the development of Alora. It
comprises the accumulated knowledge about the recurrent and expected shocks resulting
from the infrastructure damage caused by comets. The game indeed constitutes a
model of a real life situation on a planet such as Alora.
=The Model.-
Risk
management is elegantly built within the game. The principal parameters/
components of a comprehensive risk management strategy are the elements to be
dealt with in the context of a wider model involving three key dimensions:
Technology, Economics and Institutions. 
=The
Trade-Offs.-
Protecting
Alora is based on the cost-benefit analysis of Protection, Knowledge and
Insurance, in order to mitigate the impact of comets and thus to avoid the
risks of destruction. The balanced allocation of resources is critical within
the strategic risk management approach. It is understood that protecting the
built-physical infrastructure of Alora is based on investing in: 1.- â€œknowledge
and technologyâ€ù, which addresses risk assessment and an evaluation of potential
damage based on the evaluation of the size and energy of the comets; 2.- â€œProtectionâ€ù
of the existing infrastructure (e.g., improved building codes); and 3.- â€œInsuranceâ€ù
that should be considered an investment and a component of risk preparation/
prevention and guaranteed resilience.
=The
Learning.-
And since
resources in the game and in the real life are scarce, economic and technical
tradeoffs are made to achieve the development of Aloraâ€™s planet and society. The strategic risk management model has been clearly understood through playing the game.
=The Game.- 
I enjoyed
the game, once I had a full screen. At first, I had problems with my browser
which prevented me from following the instructions. I opened a different
browser and then I was able to take the tutorial and play the game. 
I am not a
good player of this type of games. In fact, I played it repeatedly and was not
able to go beyond Level 2. But I did understand, clearly, the role of the components
and the tradeoffs involved. I hope to be able to extrapolate from the game to
real decision-making in practical life, and to pay more attention to the â€œriskâ€ù
element while matching it with the appropriate levels of insurance to be purchased.
=Improving
the Game.-
The game
itself is a simplified model consisting of three main parameters (Knowledge, Insurance,
Protection), but the choices/ trade-offs are being made by the player alone. That
is a single person. The game may need to see how to make it more realistic in
terms of involving a discussion between a Decision-Maker (Policy maker) an
Expert (Scientist) and a Citizen of a city or community affected by the shock.
A more
elaborate version of the game may need to address issues of prosperity in addition
to resilience. 
Â "
110.172.129.54,3.0 to 6.0,3.0 to 4.0,24.0 to 42.0,-11.0 to 8.0,-11.0 to 12.0,-13.0 to 17.0,n/a,n/a,n/a,-28.0 to -15.0,-37.0 to -13.0,-50.0 to -14.0,n/a,n/a,n/a,"Game Reflection
Â 
Â 
It is risky to take risk sometimes;
riskier to take risk most times, but the riskiest thing to do is not to take
risk at all. 
Â 
As the World Development Report (WDR) 2014 maintains, beyond risks are
often opportunities. Reaching those opportunities, however, will always require
confronting the risks that block one away from opportunities that lie beyond.
Â 
Such is a scenario in the â€œRisk Horizonâ€ù
game. In the game lies an opportunity to develop an island community by
developing pods, and building a well-developed settlement. In the course of the
development work, there is systemic risk posed by â€œcomets.â€ù In order to proceed
with building this community, I had to put in place a mechanism for managing
the risk posed by falling comets.
Â 
I had to decide how to properly manage
this risk. From the risk management framework presented in the WDR 2014; I
adopted the framework of using knowledge, protection, and insurance in order to
manage the risks posed by comets.Â  
Â 
The role of risk management in the game
was to assist me proceed with development while managing the risks that I
faced. Through knowledge, I sought information on every single comet â€“ its
severity, chances of hit, etc. This research was made in order to allow me
decide the level of protection I needed prior to each comet striking. With the
right protection, a strike of each comet left â€œno damageâ€ù, and I continued my
development work. With the proper insurance, I would easily recover from a
shock, by rebuilding damaged pods within a short period of time. 
Â 
Risk management is a delicate process,
and must involve making choices along the development process. Throughout the
game, I had to make choices on whether I needed to seek knowledge, get insured,
or protect myself. Most often, I made a choice of seeking knowledge on each
comet before deciding on my level of protection. If, for instance, a cometâ€™s
severity was well below by current level of protect, I would opt not to seek
additional protecting, as it would increase my protection cost. 
Â 
I played the game more than once. What I
did differently during my succeeding plays was to invest more time into
research, in order to seek appropriate insurance and protection. 
Â 
My community is often threatened by
floods, and if I were to develop a new version of this game, I would change the
comets to floods that would destroy the community. By using a risk that is real
in my community, every member of the community playing the game will appreciate
the importance of risk management.Â  Â 
Â 
Â 
Â 
Â 
Â "
174.111.231.7,3.0 to 6.0,5.0 to 6.0,24.0 to 42.0,-38.0 to -27.0,-33.0 to -11.0,-37.0 to -13.0,-40.0 to -13.0,-39.0 to -2.0,n/a,-15.0 to 1.0,3.0 to 13.0,6.0 to 14.0,-4.0 to 2.0,2.0 to 12.0,n/a,"Risk management was appropriately the main focus of the game.Â 
The meteors give us risk, the insurance lowers this risk and
the protection also lowers the risk but in a different way. Buying multiple pods encourages a support system, and encourages multiple investments, although not to the extent I would like (I will touch on this later). In this game we must evaluate how to manage
our risk in order to appropriate our money into investments, whether that is
direct investment in the pods, or for insurance and investment. 
I played
the game twice, the first time I was testing it out. On my first try, I always
kept 75% (best possible) insurance. I didnâ€™t always need it, although I
definitely believed it was worth it, I could spend less time on research as I
didnâ€™t feel research was all that necessary. I had a hope for the best, expect
the worst mentality. 
The second
time I played it, I didnâ€™t hold such a mentality, I was more willing to take on
risk, and I didnâ€™t use as much defense unless I felt like I completely needed
it, I stuck with the insurance and held onto it if need be.Â  The extra money I didnâ€™t spend on insurance
was used up.Â  Something I noticed while
not using up this money was that the insurance I had was kept to myself. 
Something
interesting: I often used my protection as an insurance, and looked at
insurance as a protection, I was less likely to buy insurance if I had a large
amount of protection, even though it usually is the other way around. The
reason for this is that insurance is a large initial investment, and Iâ€™d rather
spend that investment on pods in order to increase my money and my green bar. 
Because I
kept money to myself the second game more than the first it could be said that
insurance allowed myself to invest instantly, therefore promoting economic
progress, which was not the situation the second time I played. 
In order to improve the game, I would allow insurance to
cost more, because I currently believe the game is set so insurance is highly
preferable. Also, I believe that multiple investments are not encouraged enough,
because meteors destroy all pods, which is not often the case in real life (ex.
why investors often diversify their stock portfolio). 
In review, I enjoyed the game a lot more than I thought I
will, and may play it a couple more times after submitting this review. 
"
212.98.140.41,0.0 to 2.0,0.0 to 2.0,0.0 to 15.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"The purpose of the Risk HorizonÂ game is to develop the â€œAloraâ€ù community,
while meeting certain milestones for development. There are 6 levels to the
game; but I did not succeed in completing all 6 levels. The game allowed me to understand
the value of balancing risk preparation and healthy development. â€œAloraâ€ù is at
the risk of falling â€œcometsâ€ù, i.e. â€œshocksâ€ù, andÂ  â€œwavesâ€ù i.e. the subsequent impacts. At core to succeeding in the game was to
set and achieve a balance between growing the â€œAloraâ€ù community and preparing
for these potential shocks and associated impacts. However,
this balance comes at a cost. Preparing for shocks
and creating tradeoffs among the different elements of risk preparation cost money. Another constraint worthy of mentioning was â€œtimeâ€ù; we were on the clock! Risk preparation does affect development. Preparing for risks, and the possibility of coping
with impacts, paves the way for development; it creates the necessary cultivating environment
for development. Progress is not tangible right away, but it is in prolonged continuous risk management that
development can be achieved. It is worth noting nonetheless, that risk
management and development are commensurate. During my
first attempts at the game, I was so wary of managing the risks, that I forgot
the primary purpose, which is â€œdevelopmentâ€ù. Risk management serves development,Â in preparing and
coping with approaching shocks. I lost track of the main goal, but only
addressed approaching threats. I failed to
appreciate the underlying trade-offs between development and the elements of
risk preparation which exist to serve development as a primary aim, and not
just to eliminate threats and their consequences. When I played
the game again, I made sure to focus on development, while preparing and coping
with risks as they occurred. I had to pay attention to two things:(1) the
development bar, to keep close watch on the development progress; and (2) The
approaching commits, to check the severity, the chance of hit, and how much
info is known about each. For starters,
my main aim was to develop pods to meet the required development
milestones. During this development process, I â€œkept my eyes on the horizonâ€ù,
while looking out for those approaching â€œcommitsâ€ù. At core to this was to make sure
that the preparation efforts are well in place. I kept monitoring the approaching commits, and making
sure that the degree of severity matches the protection measures put in place. I purchased sufficient
insurance coverage, which
would assist in coping with the shocks and avoiding significant
consequences to the ongoing development efforts. Research was also
a core constituent in preparation, serving to provide the
pertinent knowledge to understand these shocks, their conditions and potential
outcomes, thus reducing related uncertainties; it also created
community connections, and this reflected the collective role of all parties in risk management.The game was a good â€œmodelâ€ù that allowed
us to put into practice the acquired principlesÂ concepts of risk management. This game
surely reflected the trade-offs and synergies involved in risk management for
development. It provided a good tool to understand the concepts acquired during
weeksÂ 1 2 of this course, in an interactive and fun manner. Following
this game, I am confident that I have fully acquired the basic concepts of
risk management. I understood the importance of risk preparation, in that all three
elements of â€œprotectionâ€ù, â€œresearchâ€ù and â€œinsuranceâ€ù serve development and
pave the way for a growing environment and community. All we need to do is keep
our eyes out on the horizon, while keeping at core the importance of
development as a primary aim, which allÂ other elements stand to serve. All elements
of risk management are well represented in this game; however, what the game does not cater for is
the presence of two or more simultaneously occurring risks. This would in fact
add complexity to the game, but it is interesting to see this happen.
"
83.191.82.159,2.0 to 3.0,2.0 to 3.0,0.0 to 15.0,-38.0 to -27.0,-47.0 to -33.0,n/a,n/a,n/a,n/a,-28.0 to -15.0,-37.0 to -13.0,n/a,n/a,n/a,n/a,"Risk Horizon game is very interesting game, it is one of the most useful and effective ways to manage potential risks in our community. It's has a leading role in risk management field. The game highlighted the three significance concepts of risk management for sustainable development. which is research or knowledge of risk mapping, protection and insurance. I think these concepts are very important for any risk reduction and  contingency planning. From the gram and to be more practical, if we going to manage any potential risk in our communities, we should simply based our actions and planning on risk mapping, regarding to evidence-based knowledge or research. Without a appropriate data and deep knowledge related to the risk mapping we can not prepare effectively, In case we managed to prepare very well, this well leads to long-term prevention and protection from the any potential disasters that going to hit our communities. 
From this game I got many practical benefits. Firstly,  risk management is a high priority in our communities, particularity, in terms of long-term planning and keeping our resources functional.  whit risk management we can invest more and more in the limited resources we posses, as well as  have best practices and cost-effective system to keep these resources functioning in our community as long as possible. "
